hospital_name,district,upazila,latitude,longitude,category,contact
Dewan Diagnostic & Consultancy Center,Dhaka,Kamrangir Char,23.712,90.365,Private,
Dhaka Biopsy and Laboratory Ltd.,Dhaka,Tejgaon,23.748,90.4,Private,
Dhaka Cancer and General Hospital Limited,Dhaka,Dhanmondi,23.742,90.375,Premium,
Dhaka Central Diagnostic & Imaging Center,Dhaka,Mohammadpur,23.77,90.365,Premium,
DHAKA CENTRAL EYE HOSPITAL,Dhaka,Jatrabari,23.715,90.435,Private,
Dhaka Central International Medical College,Dhaka,Adabor,23.772,90.36,Premium,
Dhaka City Clinic,Dhaka,Sutrapur,23.712,90.412,Private,
Dhaka CIty Hospital & Diagnostic Complex,Dhaka,Shyampur,23.695,90.435,Private,
DHAKA COMMUNITY MEDICAL COLLEGE HOSPITAL,Dhaka,Kotwali,23.748,90.408,Premium,
Dhaka Crown Medical Centre,Dhaka,Badda,23.785,90.43,Private,
DHAKA DIABETIC CENTRE,Dhaka,Khilkhet,23.832,90.422,Private,
DHAKA DIAGNOSTIC & CONSULTATION CENTRE,Dhaka,Chak Bazar,23.722,90.392,Private,
Dhaka Diagnostic Centre,Dhaka,Sabujbagh,23.738,90.438,Private,
Dhaka Eye Care Hospital,Dhaka,Uttara Paschim,23.872,90.398,Premium,
Dhaka Gastro-Liver Center,Dhaka,Paltan,23.735,90.415,Private,
Dhaka General & Orthopedic Hospital,Dhaka,Mohammadpur,23.755,90.365,Private,
Dhaka General Hospital,Dhaka,Bangshal,23.72,90.4,Private,
Dhaka Health Checkup Centre,Dhaka,Paltan,23.734,90.416,Private,
Dhaka Healthcare Hospital,Dhaka,Mohammadpur,23.765,90.365,Private,
DHAKA HEALTHCARE SYSTEMS,Dhaka,Bhatara,23.798,90.415,Premium,
DHAKA HOSPITAL,Dhaka,Bangshal,23.715,90.4,Premium,
DHAKA LAB,Dhaka,Mohammadpur,23.755,90.365,Private,
DHAKA MEDICAL SERVICES,Dhaka,Mohammadpur,23.758,90.362,Private,
DHAKA METRO EYE HOSPITAL,Dhaka,Badda,23.825,90.425,Private,
Dhaka Monorog Clinic (Pvt:) Ltd.,Dhaka,Pallabi,23.818,90.368,Private,
Dhaka New Lions Eye Hospital,Dhaka,Badda,23.788,90.428,Private,
DHAKA ONCOLOGY & PALLIATIVE CARE CENTRE,Dhaka,Gulshan,23.775,90.402,Private,
DHAKA ORTHOPEDIC HOSPITAL (PVT.) LTD,Dhaka,Adabor,23.775,90.355,Premium,
Dhaka Paediatric Neonatal & General Hospital,Dhaka,Dhanmondi,23.745,90.372,Premium,
Dhaka Paramount Specialized Hospital,Dhaka,Jatrabari,23.705,90.455,Premium,
Dhaka Royal General Hospital Ltd.,Dhaka,Kadamtali,23.705,90.445,Private,
Dhaka Specialized Hospital Ltd.,Dhaka,Uttara Paschim,23.875,90.395,Premium,
Dhaka Specialized Pain Management Center,Dhaka,Dhanmondi,23.748,90.378,Private,
Dhaka Trauma Center & Orthopedic Hospital,Dhaka,Mohammadpur,23.765,90.368,Premium,
Dhamrai Diabetic Somitee,Dhaka,Dhamrai,23.918,90.222,Private,
Dhamrai Digital eye Hospital,Dhaka,Dhamrai,23.92,90.225,Private,
DHAMRAI DRISHTY SEBA EYE HOSPITAL,Dhaka,Dhamrai,23.925,90.23,Private,
Dhanmondi Clinic (PVT) LTD.,Dhaka,Kalabagan,23.745,90.385,Private,
Dhanmondi Diagnostic & Consultation Center,Dhaka,Dhanmondi,23.742,90.375,Private,
Dhanmondi General & Kindey Hospital Ltd.,Dhaka,Mohammadpur,23.748,90.378,Private,
DHOLAIPAR ISLAMIA MODEL HOSPITAL,Dhaka,Jatrabari,23.702,90.448,Private,
DIABARI DIAGNOSTIC & CONSULTATION CENTER,Dhaka,Turag,23.885,90.375,Private,
Diagnosmart Limited,Dhaka,Keraniganj,23.685,90.44,Private,
Dialab Medical Services,Dhaka,Lalbagh,23.718,90.388,Private,
Digilab Diagnostic Services,Dhaka,Banani,23.775,90.402,Private,
DIGILAB MEDICAL SERVICES LTD,Dhaka,Pallabi,23.82,90.368,Private,
Digital Diagnostic Center,Dhaka,Dakshinkhan,23.872,90.418,Private,
Digital Family Care Diagnostic,Dhaka,Kamrangir Char,23.715,90.368,Private,
Digital Fast Aid Hospital Limited,Dhaka,Kamrangir Char,23.716,90.369,Private,
DIGITAL SQUARE HOSPITAL,Dhaka,Keraniganj,23.675,90.345,Private,
DIN HOSPITAL,Dhaka,Keraniganj,23.682,90.352,Private,
DN MEDICAL SERVICES,Dhaka,Dohar,23.6,90.13,Private,
DNA BIOLAB LIMITED,Dhaka,Kalabagan,23.75,90.38,Private,
DNA Solution Ltd,Dhaka,Sher-e-bangla Nagar,23.752,90.382,Private,
Doctors Blood Bank & Transfusion Center,Dhaka,Dhanmondi,23.753,90.373,Private,
Doctors Clinic & Hospital,Dhaka,Bangshal,23.718,90.405,Private,
Doctors Clinic & Pathological Lab.,Dhaka,Kafrul,23.815,90.385,Private,
Doctors Diagnostic Center,Dhaka,Banani,23.778,90.408,Private,
DOCTORS DIAGONISTIC COMPLEX,Dhaka,Shyampur,23.695,90.445,Private,
Doctors Digital Diagnostic Center,Dhaka,Kamrangir Char,23.718,90.372,Private,
Doctors Digital Hospital,Dhaka,Kamrangir Char,23.719,90.373,Private,
DOCTORS GENERAL HOSPITAL,Dhaka,Shyampur,23.698,90.448,Private,
Doctors General Hospital & Diagnostic Center,Dhaka,Savar,23.935,90.305,Private,
Doctors Lab & Hospital,Dhaka,Jatrabari,23.71,90.45,Private,
Doctors Point,Dhaka,Mohammadpur,23.765,90.355,Private,
Doctors Support Center,Dhaka,Gulshan,23.775,90.405,Private,
DOCTORS TRUST DIAGNOSTIC CENTER,Dhaka,Kadamtali,23.705,90.465,Private,
Doctors Zone Blood Center,Dhaka,Kadamtali,23.708,90.455,Private,
Doctors Zone Diagnostic Center,Dhaka,Kadamtali,23.709,90.456,Private,
Doctor`s Multispecialty Hospital,Dhaka,Uttara Paschim,23.882,90.388,Premium,
Dogma Hospital Ltd,Dhaka,Badda,23.785,90.428,Private,
Dohar DIAGNOSTIC DENTAL CENTER,Dhaka,Dohar,23.605,90.135,Private,
Dohar General Hospital PVT. LTD.,Dhaka,Dohar,23.61,90.14,Private,
DOLFIN HOSPITAL & INFERTILITY CENTERE,Dhaka,Kamrangir Char,23.715,90.365,Private,
DOSTORS DIAGNOSTIC CENTRE LTD,Dhaka,Kalabagan,23.742,90.375,Private,
DPRC DIAGNOSTIC LAB LTD.,Dhaka,Adabor,23.772,90.362,Premium,
DPRC HOSPITAL LTD.,Dhaka,Adabor,23.773,90.363,Premium,
Dr A G Khan Diagnostic center,Dhaka,New Market,23.74,90.382,Private,
DR AMANAT KHAN HOSPITAL,Dhaka,Mirpur,23.785,90.355,Private,
Dr Lal Pathlabs Bangladesh Private Limited,Dhaka,Gulshan,23.78,90.425,Premium,
DR MAMUN DIAGNOSTIC CENTER,Dhaka,Dhamrai,23.912,90.225,Private,
Dr. A R Khan Hospital,Dhaka,Mirpur,23.782,90.352,Private,
Dr. Fazlul Haque Colorectal Hospital,Dhaka,Dhanmondi,23.748,90.375,Premium,
DR. NUSRAT DIAGNOSTIC CENTRE,Gazipur,Kapasia,24.115,90.575,Private,
Dr. Sirajul Islam Medical College & Hospital Ltd.,Dhaka,Khilgaon,23.748,90.418,Premium,
DR. TARAPADA DIAGNOSTIC CENTER,Tangail,Kalihati,24.385,90.01,Private,
Dr. Zahed Memorial Child Hospital,Faridpur,Faridpur Sadar,23.605,89.84,Private,
Dr.Joseph Memorial Hospital,Manikganj,Manikganj Sadar,23.865,89.995,Private,
DR.LUTFOR RAHMAN MEMORIAL CLINIC,Gopalganj,Kotalipara,23.005,89.985,Private,
Dr.Mahbub General Hospital,Dhaka,Jatrabari,23.708,90.458,Private,
Dr.Meherun Nessa Clinic,Dhaka,New Market,23.743,90.381,Private,
Dr.Muttalib Community Hospital,Dhaka,Paltan,23.731,90.412,Private,
DR.SHOJIB S DIABETES ASTHMA & MEDICAL CENTRE,Kishoreganj,Kishoreganj Sadar,24.435,90.785,Private,
DR.SOLYMAN HEALTH CARE CENTER,Gazipur,Gazipur Sadar,23.998,90.422,Private,
DRiiMS Diagnostic Infertility & Interventional Radiology Hospital,Dhaka,Dhanmondi,23.749,90.373,Premium,
Dristi Eye Hospital Banasree,Dhaka,Rampura,23.762,90.432,Private,
DRISTICON EYE HOSPITAL,Madaripur,Kalkini,23.07,90.235,Private,
DSK Hospital,Dhaka,Mohammadpur,23.771,90.361,Private,
DUBLI MATRISHEBA CHIKITSHALOY & DIAGNOSTIC CENTER,Dhaka,Dohar,23.595,90.135,Private,
Durjoy Digital Eye Hospital,Kishoreganj,Bhairab,24.048,90.985,Private,
DWEEP EYE CARE CENTER,Tangail,Tangail Sadar,24.252,89.921,Private,
EAST VIEW HOSPITAL & LAB,Narayanganj,Narayanganj Sadar,23.695,90.485,Private,
EAST-WEST MEDICAL COLLEGE & HOSPITAL LIMITED,Dhaka,Turag,23.895,90.355,Premium,
Eastern Care Hospital Limited,Dhaka,Mohammadpur,23.755,90.375,Private,
Eastern Diagnostic Health and Out Patient Medical Service,Dhaka,Paltan,23.738,90.412,Private,
ECB Specialized Eye Hospital,Dhaka,Cantonment,23.822,90.395,Private,
EDEN MULTI CARE HOSPITAL LTD.,Dhaka,Mohammadpur,23.748,90.371,Premium,
Efa (Pvt) Hospital & Diagnostic Centre,Narsingdi,Narsingdi Sadar,23.925,90.718,Private,
Efaz Medical Services Clinic And Diagnostic,Gopalganj,Gopalganj Sadar,23.008,89.828,Private,
Egarosindur Community Hospital,Kishoreganj,Pakundia,24.325,90.685,Private,
Ekota Diagnostic & Imaging Center,Faridpur,Madhukhali,23.545,89.675,Private,
EL-SHIFFA MEDICAL SERVICES,Dhaka,Banani,23.792,90.404,Private,
Enam Medical College & Hospital,Dhaka,Savar,23.852,90.262,Premium,
ESOMED DIAGNOSTIC CENTER,Kishoreganj,Bhairab,24.045,90.982,Private,
ETI DIAGNOSTIC CENTER,Kishoreganj,Karimganj,24.455,90.885,Private,
Eva Medical Hall & Diagonestic Centre,Faridpur,Bhanga,23.385,89.975,Private,
Evercare Hospital Dhaka,Dhaka,Bhatara,23.811,90.431,Premium,
Evergreen Diagnostic Center,Manikganj,Singair,23.815,90.155,Private,
EXIM Bank Hospital,Dhaka,Kafrul,23.795,90.378,Premium,
Eye Care Centre,Tangail,Tangail Sadar,24.248,89.918,Private,
Eye Health Bangladesh Ltd.,Dhaka,Uttara Paschim,23.878,90.388,Private,
F. A. Memorial Hospital,Dhaka,Mohammadpur,23.762,90.358,Private,
FAIR CARE HOSPITAL,Narayanganj,Rupganj,23.785,90.515,Private,
Faith Hope Hospital,Dhaka,Khilkhet,23.832,90.422,Private,
Falcon Eye Hospital and Phaco Center,Dhaka,Mirpur,23.805,90.365,Private,
Family Care General Hospital & Diagnostic Center,Dhaka,Savar,23.855,90.268,Private,
Faridpur Diabetic Association General Hospital,Faridpur,Faridpur Sadar,23.605,89.845,Private,
Faridpur General Hospital,Faridpur,Faridpur Sadar,23.608,89.842,Government,
Faridpur Heart Foundation Hospital,Faridpur,Faridpur Sadar,23.595,89.835,Private,
FATEMA MEDICAL GOLARBAZAR,Shariatpur,Naria,23.315,90.415,Private,
Fatema Memorial Diagnostic & Medical Service,Dhaka,Dakshinkhan,23.872,90.415,Private,
FATEMA MODERN HOSPITAL,Tangail,Tangail Sadar,24.255,89.925,Private,
FATEMA NURSING HOME & DIABETIC CENTER,Narayanganj,Narayanganj Sadar,23.625,90.495,Private,
FATIMA HOSPITAL & DIAGNOSTIC CENTER,Gazipur,Kaliakair,24.015,90.235,Private,
Filaria and General Hospital,Dhaka,Savar,23.922,90.282,Private,
FRIENDSHIP HOSPITAL,Dhaka,Shajahanpur,23.738,90.415,Private,
Future Health Care Diagnostic and Medical Center,Narsingdi,Narsingdi Sadar,23.921,90.715,Private,
GAI-O-SHISHU HOSPITAL,Tangail,Tangail Sadar,24.248,89.912,Private,
Galaxy Hospital Limited,Dhaka,Tejgaon,23.755,90.395,Premium,
GAZIPUR HEART HOSPITAL,Gazipur,Gazipur Sadar,23.995,90.425,Premium,
Gazipur Ideal Hospital,Gazipur,Gazipur Sadar,23.992,90.415,Private,
GENAREL HOSPITAL,Kishoreganj,Kishoreganj Sadar,24.438,90.782,Private,
General Hospital Shariatpur,Shariatpur,Shariatpur Sadar,23.212,90.345,Government,
GHATAIL DIGITAL HOSPITAL & DIAGNOSTIC CENTER,Tangail,Ghatail,24.455,90.015,Private,
Global Specialized Hospital,Dhaka,Mirpur,23.785,90.345,Premium,
Golden Verse Specialized Hospital,Gazipur,Gazipur Sadar,24.005,90.435,Private,
Gopalganj 250 Bed General Hospital,Gopalganj,Gopalganj Sadar,23.005,89.825,Government,
Gopalpur General Hospital,Tangail,Gopalpur,24.555,89.925,Private,
Goshairhat Hospital,Shariatpur,Gosairhat,23.075,90.435,Private,
GREEN INFERTILITY AND DIAGNOSTIC CENTER,Tangail,Tangail Sadar,24.252,89.925,Private,
Green Labs Hospital,Tangail,Tangail Sadar,24.245,89.922,Private,
Green View Diagnostic Center,Dhaka,Savar,23.858,90.262,Private,
GULSHAN DIABETIC CARE,Dhaka,Gulshan,23.775,90.412,Premium,
Habiganj General Hospital,Habiganj,Habiganj Sadar,24.385,91.415,Government,
Hamdard Diagnostic & Consultation Center,Dhaka,Banani,23.792,90.405,Private,
Hazi Akkas Ali Square Hospital,Gazipur,Gazipur Sadar,23.915,90.385,Private,
HAZI AZGAR ALI HOSPITAL,Narsingdi,Narsingdi Sadar,23.912,90.725,Private,
High Care Orthopedic & General Hospital,Dhaka,Mohammadpur,23.772,90.365,Private,
HIGH LIGHT EYE HOSPITAL,Faridpur,Bhanga,23.388,89.978,Private,
Hikmah Eye Hospital Ltd.,Dhaka,Khilgaon,23.755,90.425,Private,
Hira Panna Hospital Ltd.,Munshiganj,Sreenagar,23.535,90.285,Private,
Hitech Multicare Hospital ltd,Dhaka,Kafrul,23.815,90.388,Private,
Holy Child Specialized Hospital,Dhaka,Mohammadpur,23.758,90.355,Private,
Hope Medical Service,Kishoreganj,Bhairab,24.042,90.988,Private,
Hossainpur Modern Diagnostic Center,Kishoreganj,Hossainpur,24.415,90.665,Private,
Ibn Sina Medical College Hospital,Dhaka,Kallyanpur,23.785,90.355,Premium,
Ibrahim Cardiac Hospital & Research Institute,Dhaka,Shahbagh,23.738,90.395,Premium,
Ibrahim General Hospital Mirpur,Dhaka,Mirpur,23.805,90.365,Premium,
ICHAMATI DIGITAL HOSPITAL & THE LAB,Munshiganj,Serajdikhan,23.635,90.325,Private,
ICMH Matuail,Dhaka,Jatrabari,23.702,90.465,Government,
Ideal Diagnostic Center,Narsingdi,Shibpur,23.985,90.735,Private,
Imperial Hospital Ltd.,Dhaka,Uttara Purba,23.868,90.402,Premium,
Impulse Hospital Limited,Dhaka,Tejgaon,23.765,90.401,Premium,
Insaf Barakah Kidney & General Hospital,Dhaka,Mogbazar,23.748,90.405,Premium,
International Medical College & Hospital,Gazipur,Tongi,23.915,90.425,Premium,
